year,team,odds,wins_over_under,actual_record,result
1994-95,Charlotte Hornets,+1000,,,
1994-95,Golden State Warriors,+1200,,,
1995-96,Chicago Bulls,+350,,,
1997-98,Chicago Bulls,+140,,,
1986-87,Portland Trail Blazers,+2800,,,
1986-87,Cleveland Cavaliers,+3500,,,
1986-87,San Antonio Spurs,+4000,,,
1986-87,Los Angeles Clippers,+5000,,,
1986-87,Golden State Warriors,+6000,,,
1986-87,Sacramento Kings,+7500,,,
1986-87,Chicago Bulls,+10000,,,
1986-87,Indiana Pacers,+10000,,,
1986-87,Phoenix Suns,+10000,,,
1986-87,Seattle SuperSonics,+20000,,,
1992-93,Dallas Mavericks,+30000,,,
1992-93,Minnesota Timberwolves,+50000,,,
1990-91,Houston Rockets,+3500,,,
1990-91,Atlanta Hawks,+3500,,,
1990-91,Indiana Pacers,+4000,,,
1990-91,Golden State Warriors,+4000,,,
1990-91,Los Angeles Clippers,+5000,,,
1990-91,Washington Bullets,+7500,,,
1990-91,Denver Nuggets,+7500,,,
1990-91,Sacramento Kings,+10000,,,
1990-91,New Jersey Nets,+30000,,,
1990-91,Orlando Magic,+200000,,,
1988-89,Utah Jazz,+1200,,,
1988-89,Seattle SuperSonics,+1500,,,
1988-89,Denver Nuggets,+2000,,,
1988-89,Chicago Bulls,+2000,,,
1988-89,Portland Trail Blazers,+2500,,,
1988-89,New York Knicks,+3000,,,
1988-89,Houston Rockets,+4000,,,
1988-89,Indiana Pacers,+5000,,,
1988-89,Milwaukee Bucks,+5000,,,
1988-89,Golden State Warriors,+8000,,,
1988-89,San Antonio Spurs,+8000,,,
1993-94,Portland Trail Blazers,+1200,,,
1993-94,Orlando Magic,+1400,,,
1993-94,Chicago Bulls,+1500,,,
1993-94,Utah Jazz,+2500,,,
1993-94,New Jersey Nets,+2500,,,
1993-94,Golden State Warriors,+3000,,,
1993-94,Boston Celtics,+3500,,,
1993-94,Miami Heat,+4000,,,
1998-99,Utah Jazz,+350,,,
1998-99,San Antonio Spurs,+450,,,
1998-99,Indiana Pacers,+450,,,
1998-99,New York Knicks,+500,,,
1998-99,Miami Heat,+500,,,
1998-99,Houston Rockets,+500,,,
1998-99,Seattle SuperSonics,+1200,,,
1998-99,Atlanta Hawks,+1500,,,
1999-00,Los Angeles Lakers,+400,,,
1999-00,San Antonio Spurs,+500,,,
1999-00,New York Knicks,+800,,,
1999-00,Utah Jazz,+800,,,
1999-00,Miami Heat,+800,,,
1999-00,Indiana Pacers,+1000,,,
1999-00,Phoenix Suns,+1500,,,
1991-92,Charlotte Hornets,+40000,,,
1991-92,Orlando Magic,+50000,,,
1991-92,Minnesota Timberwolves,+50000,,,
1991-92,Denver Nuggets,+50000,,,
2000-01,Portland Trail Blazers,+600,,,
2000-01,San Antonio Spurs,+600,,,
2000-01,New York Knicks,+700,,,
2000-01,Orlando Magic,+800,,,
2000-01,Indiana Pacers,+1000,,,
2000-01,Utah Jazz,+1500,,,
2000-01,Phoenix Suns,+1500,,,
2000-01,Minnesota Timberwolves,+1500,,,
2000-01,Miami Heat,+1800,,,
2000-01,Philadelphia 76ers,+1800,,,
2000-01,Charlotte Hornets,+1800,,,
2001-02,San Antonio Spurs,+500,,,
2001-02,Sacramento Kings,+1000,,,
2001-02,Philadelphia 76ers,+1000,,,
2001-02,Orlando Magic,+1000,,,
2001-02,Milwaukee Bucks,+1000,,,
2001-02,New York Knicks,+1200,,,
2001-02,Miami Heat,+1200,,,
2001-02,Toronto Raptors,+1500,,,
2001-02,Dallas Mavericks,+1500,,,
